latitude,longitude,time_index,is_trend
47.3378,-53.9811,0,False
42.9667,-61.3167,171,False
45.7167,-44.1167,184,False
45.75,-44.0833,185,False
44.7167,-44.1167,185,False
45.43,-44.07,185,False
45.75,-44.0833,186,False
45.45,-44.05,186,False
45.7167,-44.0667,187,False
42.55,-61.5333,188,False
45.2167,-44.0667,188,False
45.13,-44.04,188,False
45.8667,-44.35,189,False
46.0333,-43.7667,190,False
46.0333,-43.7667,190,False
45.8667,-44.35,190,False
45.52,-44.21,190,False
46.0333,-44.77,191,False
46.0333,-44.77,191,False
46.02,-44.46,191,False
47.6485,-53.5621,231,False
42.6833,-61.3667,273,False
44.881,-55.8007,562,False
44.1633,-57.55,606,False
46.71,-56.09,609,False
47.0833,-55.9667,610,False
41.4833,-63.8667,649,False
41.4167,-60.6667,717,False
41.25,-61.75,721,False
46.4551,-55.0076,924,False
46.933,-59.9538,928,False
42.8333,-62.7833,934,False
46.8274,-56.1053,946,False
47.57,-59.56,967,False
47.053,-50.268,969,False
41.9333,-65.8,999,False
43.9473,-57.7558,1245,False
46.8622,-55.391,1297,False
43.0267,-59.9217,1332,False
46.4378,-54.25,1340,False
47.0905,-52.7499,1340,False
46.777,-54.2508,1340,False
49.3339,-53.5765,1341,False
47.9167,-51.2833,1342,False
46.6325,-54.9999,1343,False
46.9404,-54.7501,1343,False
46.9574,-54.7496,1343,False
47.0416,-54.7498,1343,False
46.9969,-59.0006,1344,False
46.3717,-58.252,1345,False
46.4495,-58.5,1345,False
46.5382,-58.2498,1345,False
46.603,-57.9998,1345,False
49.805,-55.0013,1358,False
49.6112,-57.9775,1365,False
44.745,-57.4983,1383,False
42.1667,-59.25,1384,False
42.5333,-62.8333,1401,False
46.601,-55.9343,1629,False
46.7527,-55.2853,1630,False
41.6667,-62.6833,1634,False
41.8167,-63.1667,1635,False
41.6666,-62.6833,1636,False
46.6007,-55.0194,1642,False
46.8363,-55.5524,1652,False
47.4697,-57.4872,1653,False
47.4984,-57.3826,1653,False
47.5073,-57.4063,1653,False
47.5506,-57.373,1653,False
46.37,-55.45,1655,False
42.45,-65.7333,1660,False
47.7667,-59.3667,1661,False
47.5063,-59.0527,1669,False
42.5833,-65.75,1678,False
47.2322,-61.516,1678,False
53.9297,-56.5368,1687,False
48.1453,-52.8293,1690,False
46.91,-56.07,1698,False
49.4772,-55.5158,1702,False
49.6535,-55.4012,1706,False
48.8754,-53.6547,1709,False
49.7088,-54.293,1713,False
47.45,-61.6167,1714,False
47.1318,-51.1262,1715,False
46.6083,-52.3967,1715,False
47.1343,-55.7632,1721,False
47.1114,-55.8667,1722,False
48.3908,-53.2901,1724,False
48.3908,-53.2901,1727,False
46.8966,-55.9195,1731,False
46.9237,-55.388,1746,False
48.6475,-58.8428,1763,False
48.095,-48.8508,1951,False
43.7443,-62.6,1968,False
42.5167,-61.4333,1970,False
41.4783,-66.0933,1978,False
37.2183,-74.9357,1984,False
37.1465,-74.933,1984,False
45.6333,-59.8667,2005,False
46.3341,-55.3265,2007,False
46.6675,-55.2337,2007,False
46.8167,-55.6,2011,False
45.4425,-60.5643,2013,False
47.3333,-57.65,2022,False
46.8601,-56.1832,2025,False
46.5623,-60.252,2026,False
42.1333,-66.55,2026,False
43.5,-52.0167,2028,False
50.9665,-55.7674,2029,False
47.4142,-55.5586,2029,False
43.1333,-51.0167,2031,False
47.1065,-55.8995,2032,False
46.85,-55.3342,2034,False
47.6225,-59.2882,2035,False
47.08,-52.8203,2036,False
47.2975,-55.4173,2039,False
46.814,-56.0554,2041,False
47.2407,-55.5061,2044,False
47.0782,-56.0159,2044,False
47.6184,-57.6185,2045,False
46.8309,-56.2203,2045,False
46.7835,-55.2837,2046,False
46.6,-55.2667,2047,False
47.5178,-57.7316,2048,False
46.8129,-56.1353,2051,False
46.9324,-56.0152,2053,False
43.1,-51.33,2054,False
46.8961,-56.0741,2054,False
70.95,-68.6927,2055,False
46.9667,-56.25,2055,False
51.4673,-56.8857,2055,False
47.2025,-54.1188,2058,False
47.1974,-54.0884,2058,False
46.8333,-54.2833,2058,False
48.612,-51.76,2061,False
46.8607,-54.2858,2062,False
47.557,-52.991,2064,False
46.8333,-54.26,2070,False
47.3108,-54.2586,2070,False
47.6564,-53.5315,2147,False
42.1433,-67.304,2250,False
42.1433,-67.304,2250,False
37.163,-74.0908,2277,False
46.5413,-63.8457,2307,False
47.0832,-60.5658,2313,False
47.1683,-52.6383,2315,False
48.5764,-53.2232,2333,False
47.0066,-54.9524,2366,False
46.5994,-56.039,2373,False
44.7975,-60.9363,2373,False
47.5178,-52.6192,2389,False
46.7467,-59.5483,2390,False
47.5865,-52.354,2393,False
49.2167,-51.6,2395,False
53.5331,-55.7865,2398,False
47.6,-57.6238,2398,False
47.4273,-52.3352,2398,False
47.1592,-55.1557,2399,False
47.816,-52.7732,2399,False
47.3464,-59.7018,2404,False
47.4757,-52.6367,2412,False
